[2026-03-29 13:36:33.531][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_body_cos_fastbreaking_joker_overlay_n.MdDzeJgRgjLkC~2BLdo94JG01G0lg~3D
[2026-03-29 13:36:33.531][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_headadditive_cos_fastbreaking_joker_overlay.~2BidOW7Mmbr7wNjhDkK60TUxw2QU~3D
[2026-03-29 13:36:33.532][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_cutoff_fastbreaking_joker_overlay.DH0gym4lRMiDhjNOKbUXHUVMGDY~3D
[2026-03-29 13:36:33.532][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_fastbreaking_joker_0_slot.UWp6KP1FeEHTBmaKvqnM~2FB7h0ro~3D
[2026-03-29 13:36:33.532][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_fastbreaking_joker_1_slot.9SUq2V9oao1cqdN1wMCIX0F5quI~3D
[2026-03-29 13:36:33.532][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_fastbreaking_joker_2_slot.0j6C23Dug0MPExear8iJvfsu5tU~3D
[2026-03-29 13:36:33.532][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_fastbreaking_joker_n_0_slot.m4d1IneJauZyfvoHAs0iIfjHmck~3D
[2026-03-29 13:36:33.532][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_fastbreaking_joker_n_1_slot.Uj7iZztI~2FS4N6rFstDLAXgSOqnE~3D
[2026-03-29 13:36:33.532][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_fastbreaking_joker_n_2_slot.8HrDKLA1Tl~2F888pdgZtU3WuIYd4~3D
[2026-03-29 13:36:33.533][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_fastbreaking_joker_overlay.vlRaJskiYCke3dtQHmB7Hpo1lz4~3D
[2026-03-29 13:36:33.533][1][20] BigFileDownload https://dl-core.cdn.freefiremobile.com/live/ABHotUpdates/android_max_astc/2.121.24/gameassetbundles/avatarassets/ob52/male_top_cos_fastbreaking_joker_overlay_n.iuBpU4J9cfdM~2BGWNbhbKlMF1yVg~3D
